employee_id,evaluator_type,evaluator_id,evaluation_year,criteria,type,score,value,text_response
E013,Peer / เพื่อนร่วมงาน,E011,2025,Time Management,,2.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Communication,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Leadership,,3.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Interpersonal Skills & Teamwork,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Professionalism & Company Values,,5.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Responsiveness to Feedback,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Collaboration,,2.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Problem-Solving & Initiative,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Openness to Feedback,,3.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Valuing Diversity & Inclusivity,,5.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Attention to Detail,,2.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Data Storytelling,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Flexibility,,5.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Negotiation skills,,3.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2025,Critical Thinking,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Time Management,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Communication,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Leadership,,5.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Interpersonal Skills & Teamwork,,3.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Professionalism & Company Values,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Responsiveness to Feedback,,5.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Collaboration,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Problem-Solving & Initiative,,3.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Openness to Feedback,,3.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Valuing Diversity & Inclusivity,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Attention to Detail,,5.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Data Storytelling,,3.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Flexibility,,4.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Negotiation skills,,5.0,,
E013,Peer / เพื่อนร่วมงาน,E011,2024,Critical Thinking,,3.0,,
E013,Self / ตัวเอง,E013,2025,Time Management,,4.0,,
E013,Self / ตัวเอง,E013,2025,Communication,,4.0,,
E013,Self / ตัวเอง,E013,2025,Leadership,,3.0,,
E013,Self / ตัวเอง,E013,2025,Interpersonal Skills & Teamwork,,3.0,,
E013,Self / ตัวเอง,E013,2025,Professionalism & Company Values,,4.0,,
E013,Self / ตัวเอง,E013,2025,Responsiveness to Feedback,,4.0,,
E013,Self / ตัวเอง,E013,2025,Collaboration,,4.0,,
E013,Self / ตัวเอง,E013,2025,Problem-Solving & Initiative,,3.0,,
E013,Self / ตัวเอง,E013,2025,Openness to Feedback,,3.0,,
E013,Self / ตัวเอง,E013,2025,Valuing Diversity & Inclusivity,,4.0,,
E013,Self / ตัวเอง,E013,2025,Attention to Detail,,4.0,,
E013,Self / ตัวเอง,E013,2025,Data Storytelling,,3.0,,
E013,Self / ตัวเอง,E013,2025,Flexibility,,4.0,,
E013,Self / ตัวเอง,E013,2025,Negotiation skills,,5.0,,
E013,Self / ตัวเอง,E013,2025,Critical Thinking,,3.0,,
E013,Self / ตัวเอง,E013,2024,Time Management,,2.0,,
E013,Self / ตัวเอง,E013,2024,Communication,,4.0,,
E013,Self / ตัวเอง,E013,2024,Leadership,,5.0,,
E013,Self / ตัวเอง,E013,2024,Interpersonal Skills & Teamwork,,3.0,,
E013,Self / ตัวเอง,E013,2024,Professionalism & Company Values,,4.0,,
E013,Self / ตัวเอง,E013,2024,Responsiveness to Feedback,,4.0,,
E013,Self / ตัวเอง,E013,2024,Collaboration,,4.0,,
E013,Self / ตัวเอง,E013,2024,Problem-Solving & Initiative,,3.0,,
E013,Self / ตัวเอง,E013,2024,Openness to Feedback,,3.0,,
E013,Self / ตัวเอง,E013,2024,Valuing Diversity & Inclusivity,,4.0,,
E013,Self / ตัวเอง,E013,2024,Attention to Detail,,4.0,,
E013,Self / ตัวเอง,E013,2024,Data Storytelling,,3.0,,
E013,Self / ตัวเอง,E013,2024,Flexibility,,4.0,,
E013,Self / ตัวเอง,E013,2024,Negotiation skills,,2.0,,
E013,Self / ตัวเอง,E013,2024,Critical Thinking,,3.0,,
E013,Manager / ผู้จัดการ,E020,2025,Accuracy,,5.0,,
E013,Manager / ผู้จัดการ,E020,2025,Finacial analysis,,4.0,,
E013,Manager / ผู้จัดการ,E020,2025,Cost reduce,numeric,,45000.0,
E013,Manager / ผู้จัดการ,E020,2025,Transaction accuracy,numeric,,89.5,
E013,Manager / ผู้จัดการ,E020,2025,Key strenghts,text,,,"Focus on Adaptability, Technical Skills, and Mentorship"
E013,Manager / ผู้จัดการ,E020,2025,Areas for Development,text,,,Advanced Leadership and Delegation Skills
E013,Self / ตัวเอง,E013,2025,Accuracy,,3.0,,
E013,Self / ตัวเอง,E013,2025,Finacial analysis,,3.0,,
E013,Self / ตัวเอง,E013,2025,Cost reduce,numeric,,45000.0,
E013,Self / ตัวเอง,E013,2025,Transaction accuracy,numeric,,85.0,
E013,Self / ตัวเอง,E013,2025,Key strenghts,text,,,Teamwork
E013,Self / ตัวเอง,E013,2025,Areas for Development,text,,,Analysis skill
E013,Manager / ผู้จัดการ,E020,2024,Accuracy,,4,,
E013,Manager / ผู้จัดการ,E020,2024,Finacial analysis,,2,,
E013,Manager / ผู้จัดการ,E020,2024,Cost reduce,numeric,,40000.0,
